Business,Street,City,State,Postcode,Country,Phone,Website,Email,Email Type,Categories,Description,Revenue,Employees,Founded,Sic,Naics,Linkedin,Facebook,X,Instagram,Youtube,Lat,Lng,Contact First Name,Contact Last Name,Contact Role,Contact Email
A&t Roofing And Exteriors,10330 Chedoak Ct Ste 101,Jacksonville,FL,32218,United States,(904) 365-3828,https://www.atroofingexterior.com/,lissi@atroofingexteriors.com,Unknown,"Roofing contractor, Construction company, General contractor, Gutter cleaning service, Gutter service, Siding contractor","A&T Roofing and Exteriors is a small, family-owned company located in Jacksonville, Fl. Our goal is to not only help spread the knowledge of roofing but also create it. Bringing someone’s dream place to life is our #1 priority, and with us, quality will always matter.",,3,2021,,,,https://facebook.com/a&troofingandexteriors,,https://instagram.com/atroofingandexteriors,,30.42589,'-81.6554751,Jasmine,Moreno,Sales Manager,jasmine@atroofingexteriors.com
"A-z Speciality Services, Llc",2057 Mcgirts Point Blvd,Jacksonville,FL,32221,United States,(904) 377-3215,,,,"Construction company, Property maintenance",,,,,,,,,,,,30.2797303,'-81.8236516,,,,
A. J. Wells Roofing & Construction,,Jacksonville,FL,32204,United States,(904) 553-0069,https://ajwellsroofing.com/,sales@ajwellsrfg.com,,"Roofing contractor, Construction company, Waterproofing service",AJ Wells Roofing & Construction is a company that operates in the Construction industry. It employs 11-20 people and has $1M-$5M of revenue.,<$5 M,<25,,"17,176","23,238",https://www.linkedin.com/company/ajwellsroofingandconstruction,https://www.facebook.com/AJWellsRoofing,,https://www.instagram.com/ajwellsroofing,https://www.youtube.com/@AJWellsRoofingJax,30.3385426,'-81.6746345,,,,
A.p.v. Home Improvement,1645 Cortez Rd,Jacksonville,FL,32246,United States,(904) 760-2979,,,,"Construction company, Bathroom remodeler, Dry wall contractor, Flooring contractor, Handyman/Handywoman/Handyperson, Insulation contractor, Kitchen remodeler, Remodeler, Siding contractor, Sunroom contractor",,,,,,,,,,,,30.3221642,'-81.5334794,,,,
A1a Roof & Repair,388 33rd Ave S,Jacksonville Beach,FL,32250,United States,(904) 735-9913,http://www.a1aroofandrepair.com/,info@a1aroofandrepair.com,Unknown,Roofing contractor,"When roof repair and installation is not done properly, you expose yourself to leaks and potentially thousands of dollars in damages. A1A Roof and Repair is committed to keeping you safe by protecting your most valuable asset, your home. We provide a",,,,,,,https://www.facebook.com/A1AROOFS,,,,30.2631887,'-81.3892303,,,,
A1a Roofing,3107 Spring Glen Rd,Jacksonville,FL,32207,United States,(904) 674-0744,,,,Roofing contractor,,,,,,,,,,,,30.2937796,'-81.6094737,,,,
A1a Solar & Air,10418 New Berlin Rd Unit 223,Jacksonville,FL,32226,United States,(904) 468-7861,https://www.a1asolar.com/,mccoy@a1asolar.com,,"Solar energy company, Electric vehicle charging station contractor, Energy advisory service, Energy equipment and solutions, Hot water system supplier, HVAC contractor, Insulation contractor, Solar energy system service, Solar panel maintenance service","A1A Solar is a leading provider of renewable energy solutions, specializing in solar power systems, battery storage, HVAC, and energy efficiency improvements for residential and commercial clients. The company is known for its expertise and commitment to customer satisfaction, offering pre-qualified certified solar contracting services.",$13.3 M,26,2010,"16,162","23,237",https://www.linkedin.com/company/a1a-solar-contracting-inc,https://www.facebook.com/A1Asolar,https://www.x.com/a1asolar,https://www.instagram.com/a1asolar,,30.4234616,'-81.565153,Pete,Wilking,President & Founder,pete@a1asolar.com
Aaa Roofmasters Inc,5991 Chester Ave Unit 110,Jacksonville,FL,32217,United States,(904) 713-7663,https://www.aaaroofmastersinc.com/,sales@aaaroofmastersinc.com,Unknown,Roofing contractor,"A A A Roof Masters Inc is a company that operates in the Commercial & Residential Construction industry. It employs 10to19 people and has 1Mto5M of revenue. The company is headquartered in Tallahassee, Florida. (Private company)",$3.0 M,11,,"17,176","23,238",,https://www.facebook.com/groups/ClickFunnels,,,,30.224099,'-81.592439,,,,
Abc Supply Co. Inc.,1972 Wells Rd,Orange Park,FL,32073,United States,(904) 830-3230,https://www.abcsupply.com/locations/location/,customersupport@abcsupply.com,,"Roofing supply store, Solar energy equipment supplier","ABC Supply Co., Inc. is the largest wholesale distributor of roofing and other select exterior and interior building products in North America. Since its founding in 1982, ABC Supply’s sole focus has been serving professional contractors and “making it easy” for them to do their jobs by offering the products, support and services they need — including myABCsupply, which allows them to place material orders and manage their account details from anywhere.",$20.4 B,8540,1982,"50,503","42,423",https://www.linkedin.com/company/abc-supply,https://www.facebook.com/ABCSupplyCo,,https://www.instagram.com/abcsupplycoinc,https://www.youtube.com/channel/UC1ME1XrT3I7n3csvQ2D_vig,30.1850243,'-81.7409264,Jim,Baniewicz,Chief Operating Officer,jbaniewicz@abcsupply.com
Abc Supply Co. Inc.,2045 W 26th St,Jacksonville,FL,32209,United States,(904) 924-7974,https://www.abcsupply.com/locations/location/,customersupport@abcsupply.com,,"Building materials supplier, Building materials store, Manufacturer, Window supplier","ABC Supply Co., Inc. is the largest wholesale distributor of roofing and other select exterior and interior building products in North America. Since its founding in 1982, ABC Supply’s sole focus has been serving professional contractors and “making it easy” for them to do their jobs by offering the products, support and services they need — including myABCsupply, which allows them to place material orders and manage their account details from anywhere.",$20.4 B,8540,1982,"50,503","42,423",https://www.linkedin.com/company/abc-supply,https://www.facebook.com/ABCSupplyCo,,https://www.instagram.com/abcsupplycoinc,https://www.youtube.com/channel/UC1ME1XrT3I7n3csvQ2D_vig,30.3602973,'-81.6921073,Jim,Baniewicz,Chief Operating Officer,jbaniewicz@abcsupply.com
Acosta Roofing Company,12276 San Jose Blvd,Jacksonville,FL,32223,United States,(386) 348-4446,,,,"Roofing contractor, Building firm, Carpenter",,,,,,,,,,,,30.1470425,'-81.6354929,,,,
Act Metal Deck Supply,1560 Jessie St,Jacksonville,FL,32206,United States,(800) 894-7741,https://www.metaldecksupply.com/,sales@metaldecksupply.com,Service busy,Metal supplier,"A.C.T. Metal Deck Supply is a full-service metal deck distributor with 15 locations in 11 states serving the U.S. and abroad. Metal roof deck, form deck and composite floor decks are available in all types, gauges and finishes for immediate use as well as any size order produced for any project requirements and schedule.",$6 M,20,1993,"50,503","42,423",https://www.linkedin.com/in/metaldecksupply,https://www.facebook.com/actmetaldecksupply,https://x.com/metaldecksupply,,https://www.youtube.com/channel/UCaC563acDqA-0Q0UZsJV6Vw,30.3328585,'-81.6339802,Gustav,Linner,"Manager, Information Technology",glinner@metaldecksupply.com
Advanced Roofing Inc.,4671 Edison Ave,Jacksonville,FL,32254,United States,(904) 826-3860,https://www.advancedroofing.com/,sales@advancedroofing.com,,"Roofing contractor, Solar energy company","Established in 1983, Advanced Roofing Inc. is a full-service commercial roofing contractor specializing in re-roofing, replacements, repairs, maintenance, and solar energy services for occupied buildings in Florida and the Caribbean.",$366 M,395,1983,"17,176","23,238",https://www.linkedin.com/company/advanced-roofing,https://www.facebook.com/AdvancedRoofing,https://x.com/AdvancedRoofFL,https://www.instagram.com/advancedroofinginc,https://www.youtube.com/user/AdvancedRoofingInc,30.322855,'-81.72602,Dale,Elkins,,dalee@advancedroofing.com
Afab Solutions,1867 Caravan Trail #109,Jacksonville,FL,32216,United States,(904) 783-8771,https://afabsolutionsllc.com/,info@afabsolutionsllc.com,Unknown,Stucco contractor,"AFAB Solutions LLC is a leading stucco company based in Jacksonville, FL, specializing in stucco repair and installation services. Their skilled team also offers a range of home improvement services, including residential and commercial painting, remodeling, and maintenance solutions.",$1.3 M,9,,"32,327","32,327",,https://facebook.com/pg/afabsolutions,,,,30.3127418,'-81.5632015,,,,
Ak Certified Contracting Llc,3491 Pall Mall Dr Ste 119,Jacksonville,FL,32257,United States,(386) 302-9063,https://akccfl.com/,website@akccfl.com,Unknown,"Roofing contractor, Contractor, Gutter cleaning service, Siding contractor","AK Certified Contracting is a local company dedicated to revolutionizing roofing services in the Northeast Florida area. We are committed to delivering an exceptional experience to our customers, whether its for private residences, rental properties, or commercial buildings, with unparalleled attention to detail.",$1.2 M,7,2017,"17,176","23,238",https://www.linkedin.com/company/ak-certified-roofing,https://www.facebook.com/akccfl,https://x.com/akcroofingfl,https://www.instagram.com/akcertifiedroofing,https://www.youtube.com/channel/UCrMw4YIvfeZuzjq8ZmVhWVg,30.2003531,'-81.6207618,Brianna,Tracy,Office Manager,btracy@akccfl.com
Al-jackson Roof Install,11798 San Jose Blvd 17 Suite 17,Jacksonville,FL,32223,United States,(904) 204-2363,https://jacksonvillerooffix.cc/,,,Roofing contractor,Roof Repair in Jacksonville (904) 204-2363 Call Us,,,,,,,,,,,30.157136,'-81.6340617,,,,
Alan Taylor Roofing,,Jacksonville,FL,32216,United States,(904) 701-7417,,,,Roofing contractor,,,,,,,,,,,,30.291102,'-81.5706967,,,,
Alan Taylor Roofing Llc,1029 Blanding Blvd Unit 705,Orange Park,FL,32065,United States,(904) 291-8438,https://alantaylorroofing.com/,alan@alantaylorroofing.com,,"Roofing contractor, Contractor","Alan Taylor Roofing is a third generation Company dating back to 1956 North Floridas residential roofing company serving Duval, Clay, and St Johns county. Alan Taylor Roofing is a proud member of FRSA Floridas Association of Roofing Professionals. FRSA is the industry voice on Florida specific building codes and legislation and supports licensed professional contractors.",<$5 M,<25,1956,"17,176","23,238",,https://www.facebook.com/alantaylorroofing,,,,30.1333403,'-81.7786594,Renee,Taylor,Project Manager,renee@alantaylorroofing.com
All American Gutter Protection,7052 103rd St Ste 306,Jacksonville,FL,32210,United States,(888) 323-8090,https://www.allamericangutterprotection.com/location/jacksonville-florida/,customerservice@allamericangutterprotection.com,,"Gutter service, Gutter cleaning service","All American Gutter Protection specializes in premium gutter guards designed to prevent clogs caused by leaves and debris, ensuring year-round protection for homes. Their products come with a lifetime performance guarantee, promising homeowners a hassle-free, maintenance-free solution to gutter cleaning.",$9 M,39,2015,"17,176","23,238",https://linkedin.com/company/6644543,https://facebook.com/endguttercleaningforever,https://x.com/all_american_gp,https://instagram.com/allamericangutterprotection,https://youtube.com/@allamericangutterprotection,30.2472218,'-81.7614191,Greg,Brosch,National Sales Trainer,greg@allamericangutterprotection.com
All American Roofing,8130 Ribault Scenic Dr,Jacksonville,FL,32208,United States,(904) 789-6712,,,,Roofing contractor,,,,,,,,,,,,30.3938045,'-81.6823113,,,,
All Around Roofing,8540 W Beaver St,Jacksonville,FL,32220,United States,(904) 783-9500,,,,"Roofing contractor, Repair service, Skylight contractor",,,,,,,,,,,,30.3199371,'-81.7942278,,,,
All Around Roofing,8540 Baycenter Rd,Jacksonville,FL,32256,United States,(904) 977-8300,https://allarroofing.com/,,,Roofing contractor,,,,,,,,,,,,30.2284396,'-81.5835712,,,,
All Clean Pressure Washing & Roof Cleaning,360 14th Ave S,Jacksonville Beach,FL,32250,United States,(904) 480-8893,https://allclean904.wixsite.com/allcleanpressurewash,,,"Pressure washing service, Gutter cleaning service, Waterproofing service, Window cleaning service",,,,,,,,,,,,30.2747362,'-81.3900399,,,,
All Dry Services Of Se Jacksonville,13830 Gran Bay Pkwy #301,Jacksonville,FL,32258,United States,(904) 592-9111,https://alldryjax.com/,service@alldryjax.com,Unknown,"Water damage restoration service, Building restoration service","All Dry Services is a mold removal and water damage restoration company serving Jacksonville FL. Call now for fast, 24/7 emergency cleanup and repair.",,,,,,https://www.linkedin.com/company/all-dry-se-jacksonville,https://www.facebook.com/alldryservicessejacksonville,https://alldryjax.com/sitemap,https://www.instagram.com/alldryjax,https://www.youtube.com/@AllDryJAX,30.1354551,'-81.5119278,,,,
All Metals Fabrication Llc,4235 St Augustine Rd,Jacksonville,FL,32207,United States,(904) 862-6885,https://amfllc.net/,contact@amfllc.net,,"Roofing supply store, Metal fabricator","At all Metals Fabrication, LLC we pride ourselves in delivering a top notch product manufactured to your specific needs using only American Made metal for our products. We operate a complete custom sheet metal accessory shop that help design and build most anything needed to make your home, business, or a one of a kind project.",$1.4 M,8,2017,,,https://www.linkedin.com/company/all-metals-fabrication-llc,https://www.facebook.com/allmetalfabinc,,,,30.2769056,'-81.6420786,Brian,Barlow,Senior Estimator,brian.barlow@amfllc.net
All Pro Roofing And Consulting Llc,11633 Philips Hwy,Jacksonville,FL,32256,United States,(904) 337-1082,https://www.allproroofingllc.com/,brian@allproroofingllc.com,,"Roofing contractor, Siding contractor, Window installation service","All Pro Roofing & Consulting, LLC is a professional roofing contractor based in Jacksonville, FL, specializing in both residential and commercial roofing services. They offer a comprehensive range of exterior services, including roofing, siding, window, and door installations, as well as emergency repairs.",$982 K,6,,"17,176","23,238",,https://www.facebook.com/allproroofingllc,https://www.x.com/allproroofing1,https://www.instagram.com/allproroofingandconsulting,,30.1588053,'-81.5318863,Brian,Damico,Partner,brian@allproroofingllc.com
All Rite Roofing Inc,5534 Normandy Blvd,Jacksonville,FL,32205,United States,(904) 789-6713,,,,Roofing contractor,,,,,,,,,,,,30.308339,'-81.7425343,,,,
All South Roofing Co,406 Roberts St,Jacksonville,FL,32254,United States,(904) 781-6363,,,,Roofing contractor,,,,,,,,,,,,30.3211541,'-81.7417594,,,,
All Weather Contractors,1702 Lindsey Rd,Jacksonville,FL,32221,United States,(904) 781-7060,https://allweathercontractors.com/,info@allweathercontractors.com,,"General contractor, Air conditioning contractor","All Weather Contractors provides a number of quality, licensed services performed by certifies, skilled and factory trained professionals. There arent many contractors that have licensed professionals in construction, HVAC, property maintenance and plumbing services available within one company.",$16.9 M,74,2008,"76,769","23,238",https://www.linkedin.com/company/4445298,https://www.facebook.com/AllWeatherContractors,https://www.x.com/allweatherjax,https://www.instagram.com/allweathercontractors,,30.2889906,'-81.7863155,Jimmy,Lubani,,jlubani@allweathercontractors.com
Allegiance Roof Systems Llc,9556 Historic Kings Rd S Ste 402,Jacksonville,FL,32257,United States,(904) 513-3976,https://www.allegianceroofjax.com/,allegianceroofsystems@gmail.com,,Roofing contractor,"Allegiance Roof Systems is a top rated roofing contractor located in Jacksonville, Florida. Our roofing company has teams of roofers ready to install metal, tile, flat, or shingle new roofs as well as repair roofs on homes and businesses in and around Jacksonville, Jax Beach, Ponte Vedra Beach and Orange Park.",,1,2015,,,,https://facebook.com,,,,30.2047074,'-81.5784576,,,,
Alliance Roofing And Construction,5151 Sunbeam Rd,Jacksonville,FL,32257,United States,(888) 216-0459,,,,Contractor,,,,,,,,,,,,30.206638,'-81.5808387,,,,
Allied Restoration & Construction,11501 Columbia Park Dr W,Jacksonville,FL,32258,United States,(844) 925-5433,https://alliedrandc.com/,sbays@alliedrandc.com,Unknown,"Water damage restoration service, Building restoration service, Cleaning service, Construction company, Fire damage restoration service","Allied Restoration & Construction specializes in professional water damage, fire restoration, and remodeling services for both residential and commercial clients. They provide emergency assistance for flooding, smoke damage assessment, and mold mitigation to ensure health and safety.",$6.7 M,32,2016,"15,152","23,236",https://www.linkedin.com/company/allied-restoration-and-construction,https://www.facebook.com/Allied-Restoration-and-Construction-357564817979740,,,,30.1587573,'-81.5384888,Larry,Augst,Regional Manager,laugst@alliedrandc.com
Alpha Foundations,55 Industrial Loop,Orange Park,FL,32073,United States,(904) 872-6198,https://www.alphafoundations.com/about/meet-the-team/jacksonville-branch/,sales@alphafoundations.com,Service busy,"Concrete contractor, Contractor, Foundation, Water damage restoration service, Waterproofing service","Alpha Foundations is proud to be part of Groundworks—North America’s leading and fastest-growing foundation solutions company.
At Alpha Foundations, were not just about providing services; were about educating homeowners on the importance of structural integrity and crawl space solutions.",$29.9 M,129,2003,"86,17","23,238",https://www.linkedin.com/company/alpha-foundations,,,,,30.1803333,'-81.7145507,Ryan,Parker,Certified Field Inspector,ryan@alphafoundations.com
Alpine Roofing Inc.,604 Edgewood Ave S,Jacksonville,FL,32205,United States,(904) 789-6710,,,,Roofing contractor,,,,,,,,,,,,30.3159238,'-81.7225138,,,,
"Alton Roofing Services, Llc",5352 Hwy Ave,Jacksonville,FL,32254,United States,(904) 235-5224,,,,Roofing contractor,,,,,,,,,,,,30.3209608,'-81.7384044,,,,
Ambiance Roofing Depot,12724 Gran Bay Pkwy Suite 410,Jacksonville,FL,32258,United States,(904) 776-5740,,,,Roofing contractor,,,,,,,,,,,,30.1395695,'-81.5319168,,,,
Amelia Roofing,5756 Heckscher Dr,Jacksonville,FL,32226,United States,(904) 333-6496,,,,Roofing contractor,,,,,,,,,,,,30.4113255,'-81.5187243,,,,
America's Best Roofing And Construction,6251 Philips Hwy Ste 6,Jacksonville,FL,32216,United States,(904) 775-7663,https://abrcflorida.com/,info@abrcflorida.com,Unknown,Roofing contractor,Serving Florida for over 20 Years,,,,,,,,,https://www.instagram.com/abrcflorida,,30.2582625,'-81.6112546,,,,
"Amw Contracting, Inc.",144 S Arlington Rd,Jacksonville,FL,32216,United States,(904) 725-4197,https://www.amwcontracting.com/,metalroofpro@yahoo.com,,"Roofing contractor, General contractor","At AMW Contracting, were a facilities management company that businesses throughout Jacksonville and Northeast Florida can trust to improve their facilities and respond to emergencies that could otherwise affect normal business operations. Were on call 24/7 to ensure business owners always have access to the reliable and professional support they need to maintain comfortable and functional facilities.",<$5 M,<25,1999,"17,176","23,238",,https://www.facebook.com/amwcontracting1/%20,,,,30.3109516,'-81.5791757,Cheryl,Merritt,Service Coordinator,cheryl@amwcontracting.com
Anderson Restoration & Emergency Services,221 N Hogan St #321,Jacksonville,FL,32202,United States,(904) 827-9919,http://andersonrestoration.com/,andersonrestoration@gmail.com,,"Water damage restoration service, Fire damage restoration service","In cases of severe water, mold, or fire damage, it may be necessary to perform a complete interior reconstruction which includes installation of new flooring, drywall replacement, painting, and the replacement of cabinets, trim carpentry, insulation, sub-floors, and more.",$5 M,5,2007,,,,,,,,30.3288067,'-81.65988,,,,
Apex Roofing & Contracting,824 Shetter Ave,Jacksonville,FL,32250,United States,(904) 867-7574,https://apexroofingfl.com/,judy@apexroofingfl.com,,"Roofing contractor, Construction company, Contractor, Roofing supply store","Apex Roofing & Contracting, based in Jacksonville, FL, specializes in residential and commercial roofing, offering a comprehensive range of services including roof repairs, waterproofing, remodels, and custom design and build. The company is known for its expertise in handling projects for single-family homes, multi-family complexes, and commercial properties, utilizing premium materials to ensure durability and safety.",$450 K,7,,"17,176","23,238",,https://www.facebook.com/ApexRoofingandConsulting,,,https://www.youtube.com/watch,30.2869196,'-81.3979531,,,,
Apex Roofing & Restoration,337 W Forsyth St Suite 201,Jacksonville,FL,32202,United States,(904) 934-9172,https://apexroofs.com/,press@apexroofs.com,,Roofing contractor,"“Alabama’s Largest and Most Trusted Roofing Company” 
Apex Roofing and Restoration serves as general contractor on residential, multi-family and commercial projects across the southeast; often immediately responding to weather events. Apex teams are trained for rapid response and accurate documentation and analysis of property lost; Apex is also one of only a handful of companies in the country to boast the highest level of certifications from the top manufacturers in the United States.",$11.3 M,218,2010,"17,176","23,238",https://www.linkedin.com/company/apex-roofing-restoration/%20,https://www.facebook.com/ApexRoofingandRestorationLLC,,https://www.instagram.com/apexroofingprofessionals,,30.3283124,'-81.6625218,Julius,Williams,Sales & Marketing Specialist,jwilliams@apexroofs.com
Aqua Roofing And Restoration,3832 Baymeadows Rd,Jacksonville,FL,32217,United States,(904) 646-8721,,,,"Roofing contractor, Fire damage restoration service, Water damage restoration service",,,,,,,,,,,,30.2173651,'-81.6154682,,,,
Aquaguard Mitigation,Touchton Rd Building 100,Jacksonville,FL,32246,United States,(904) 265-3720,https://aquaguardmitigation.com/,,,Roofing contractor,"​AquaGuard Mitigation specializes in providing emergency roof tarping and 24/7 water mitigation services to both residential and commercial properties. Recognizing the urgency and stress associated with roof leaks and water damage, our dedicated team offers prompt and reliable solutions to safeguard your property and restore comfort",,1,2023,,,https://www.linkedin.com/company/aquaguard-mitigation-llc,https://www.facebook.com/567342473135208,,https://www.instagram.com/aquaguard_mitigation,,30.2629921,'-81.54904,,,,
Arac Roof It Forward,50 N Laura St Suite 2500,Jacksonville,FL,32246,United States,(904) 334-6230,https://www.roofitforward.com/jacksonville,nathansaulsberry@roofitforward.com,,Roofing contractor,"Hi! I’m Tommy Morgan, an expert Roofing Consultant for ARAC Roof It Forward for more than five years. My team and I specialize in the North Georgia area, including Bartow, Cherokee, Cobb, and Paulding. Roof It Forward is a commercial and residential contractor specializing in roofing, siding, gutters, painting, insulation and many other trades.",$15.9 M,4,2005,"17,176","23,238",https://www.linkedin.com/in/arac-roof-it-forward-584b3b66,https://www.facebook.com/aracroofitforwardga,https://x.com/ARACRoofIt,,https://www.youtube.com/channel/UC5tGVFSv6uW9JPUZxwrOsPQ,30.3270609,'-81.6613854,Chad,Felkel,Restoration Consultant,chadfelkel@roofitforward.com
Arctic Enterprises Inc.,1891 Louie Carter Rd,Jacksonville,FL,32234,United States,(904) 759-9141,https://www.arcticroofing.com/,jcarr@jacksonvillefoamroof.com,Service busy,Roofing contractor,"Arctic Enterprises Inc. is a state certified commercial roofing contractor based in Jacksonville, Florida, specializing in SPF foam roofing, metal roof restoration, silicone coating systems, and commercial flat roof installations. With over 30 years of experience, they cater to commercial properties, warehouses, industrial parks, shopping centers, hospitals, and government entities across Florida and Georgia.",$6.8 M,26,2006,"17,176","23,238",https://www.linkedin.com/pub/jeff-carr/12/317/b8,https://www.facebook.com/ArcticEnterprises,,,,30.0928815,'-81.9866924,,,,
Ardell Roofing Inc,,Orange Park,FL,32065,United States,(904) 531-9454,,,,Roofing contractor,,,,,,,,,,,,30.1712245,'-81.8552196,,,,
Armada Construction Services Llc,8806 Brierwood Rd,Jacksonville,FL,32257,United States,(904) 449-5112,https://armadaconstructionjax.com/,contactus@armadaconstructionjax.com,Service busy,"Roofing contractor, Air conditioning contractor, Air conditioning repair service, Bathroom remodeler, Construction company, Fire damage restoration service, General contractor, Kitchen remodeler, Plumber, Water damage restoration service","Armada Construction is a locally owned roofing and construction company based in Jacksonville, Florida, specializing in roof installations, repairs, and replacements, as well as a variety of other services including HVAC, plumbing, and damage restoration.",$4.8 M,9,2010,"17,176","23,238",https://www.linkedin.com/company/armada-construction-services,https://www.facebook.com/armadaconstructionjax,https://armadaconstructionjax.com/plumbing,,,30.2202808,'-81.5978962,,,,
Armor Roofingcompany,3885 Julington Creek Rd,Jacksonville,FL,32223,United States,(904) 371-0234,https://www.armorroofingcojax.com/,s.kelly@armorroofingcojax.com,Service busy,Roofing contractor,"Armor Roofing Company is a prominent roofing contractor based in Jacksonville, Florida, specializing in both residential and commercial roofing services since 2003. They offer a wide selection of high-quality roofing products, including GAF/ELK and Owens Corning, ensuring customer satisfaction with extended warranties and workmanship guarantees.",$1.1 M,6,2003,"17,176","23,238",https://www.linkedin.com/in/stephen-a-kelly-9847673a,https://www.facebook.com/Stephenk1970,https://mailto:s.kelly@armorroofingcojax.com,,,30.1387893,'-81.6099223,,,,
Armstrong Family Roofing,5730 Bowden Rd,Jacksonville,FL,32216,United States,(386) 342-4984,,,,"Roofing contractor, Building firm, Carpenter",,,,,,,,,,,,30.2635378,'-81.6069802,,,,
Arqen Remodeling,5263 Vassar Rd,Jacksonville,FL,32207,United States,(904) 930-8863,https://arqenremodeling.com/,,,"Roofing contractor, Bathroom remodeler, Deck builder, Flooring contractor, Kitchen remodeler, Painting, Remodeler",arqenremodeling.com,,,,,,,https://www.facebook.com/arqenremodeling,,https://www.instagram.com/arqenremodeling,,30.2669382,'-81.6407858,,,,
As New Again Pressure Washing,1433 Romney St #5,Jacksonville,FL,32211,United States,(904) 274-5418,https://www.asnewagainpw.com/,asnewagainpw@gmail.com,,"Pressure washing service, Gutter cleaning service, Window cleaning service","As New Again Pressure Washing is a Jacksonville-based company specializing in professional pressure washing services for both residential and commercial properties. They offer a comprehensive range of services, including house washing, roof cleaning, paver sealing, and exterior cleaning for apartment complexes and storefronts.",$5.3 M,12,2012,"17,179","56,561",https://www.linkedin.com/company/as-new-again-pressure-washing-llc,https://www.facebook.com/low.pressure.methods,https://www.x.com/asnewagain,,,30.3355525,'-81.6000029,,,,
Asap Roof Inspections,5508 Wilmin Way,Jacksonville,FL,32207,United States,(904) 246-3969,http://asaproofinspections.com/,,,"Roofing contractor, Plumber","ASAP Roof Inspections is a company that operates in the Construction industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in Jacksonville, Florida.",<$5 M,<25,,"73,738","54,541",,,,,,30.2958592,'-81.6078109,,,,
